Note,Presence_of_Vibrato,Peak_Percentage,Mean_Difference,Max_Difference,Index_Max (First one/ Last one would make more sense),Location_Max(%),Start_End_Time (seconds),Duration,Notes
C4,no vibrato,4.037061549,17.78333333,333,10,0.1833333333,nan,nan,
C#4,no vibrato,1.083591331,66.30769231,302,2,0.2307692308,nan,nan,
D4,no vibrato,2.167182663,32.2,181,19,0.74,nan,nan,
D#4,no vibrato,5.587668593,13.73,303,58,0.686,nan,nan,
E4,no vibrato,6.563161609,12.54347826,126,30,0.3369565217,nan,nan,
F4,no vibrato,2.244582043,31.89285714,115,19,0.7142857143,nan,nan,
F#4,no vibrato,2.220459952,32.37,106,15,0.5925,nan,nan,
G4,no vibrato,8.585858586,9.63559322,130,62,0.53389,nan,nan,
G#4,no vibrato,2.034174125,30.833,171,20,0.875,nan,nan,
A4,no vibrato,0.1618122977,4,4,0,1,nan,nan,
A#4,no vibrato,6.193458594,11.13,316,20,0.2386,nan,nan,
B4,no vibrato,6.713780919,9.68,116,48,0.5212,nan,nan,
C5,no vibrato,8.383685801,9.7,454,26,0.2454545,nan,nan,
C#5,no vibrato,7.376478775,9.2,209,42,0.40952,nan,nan,
D5,no vibrato,7.532667179,11.09278351,202,31,0.3298,nan,nan,
D#5,no vibrato,5.271695053,14.09375,149,26,0.4218,nan,nan,
E5,no vibrato,6.824146982,11.63636364,172,35,0.4675,nan,nan,
F5,no vibrato,3.663793103,15.36,451,4,0.1,nan,nan,
F#5,no vibrato,6.144781145,12.2,339,35,0.5,nan,nan,
G5,no vibrato,3.690987124,20.976,145,15,0.381,nan,nan,
G#5,no vibrato,1.707498144,42.772727,266,2,0.13636,nan,nan,
A5,no vibrato,1.963746224,36.64,385,4,0.2,nan,nan,
A#5,no vibrato,1.135442011,68.769,606,2,0.23,nan,nan,
B5,no vibrato,3.503184713,21.837,287,13,0.32558,nan,nan,
C6,no vibrato,8.497723824,8.783783784,170,56,0.5135,nan,nan,
C#6,no vibrato,1.58045977,38.38095238,151,7,0.38,nan,nan,
D6,no vibrato,3.376436782,23.0869,531,2,0.06521,nan,nan,
D#6,no vibrato,5.236051502,16.2833,497,15,0.2666667,nan,nan,
E6,no vibrato,2.920830131,22.648,243,3,0.108108,nan,nan,
F6,no vibrato,3.65230095,20.489,359,16,0.3469,nan,nan,
F#6,no vibrato,4.752851711,17.0408,239,5,0.122,nan,nan,
G6,no vibrato,2.382782475,32.86667,295,9,0.333,nan,nan,
G#6,no vibrato,4.606830818,18.667,407,23,0.421,nan,nan,
No vibrato peak percentge values are too large for no vibrato. This is because recordings have noises which are not eliminated completely,,,,,,,,,
C4,vibrato,6.035379813,12.72,48,7,0.0695,0.58:5.06,4.48,
C#4,vibrato,5.141388175,16.46,149,3,0.040404,0.90:5.1,4.2,
D4,vibrato,5.568891023,14.72,57,2,0.026,0.8:4.96,4.16,
D#4,vibrato,6.44379845,12.742,54,86,0.659,0.58:5.24,4.76,
E4,vibrato,6.382978723,12.032,57,2,0.024,0.95:4.82,3.87,
F4,vibrato,6.62112454,12.32,74,3,0.032,0.82:4.94,4.12,
F#4,vibrato,6.762849414,11.5637,45,70,0.47651,0.47:5.43,4.96,
G4,vibrato,7.732164209,10.787564,40,"10,191",0.0569,0.55:6.56,6.01,
G#4,vibrato,7.495667244,10.98255,42,135,0.79069,0.43:5.86,5.43,
A4,vibrato,8.370044053,9.9047,49,3,0.021164,0.54:5.69,5.15,
A#4,vibrato,6.242350061,13.046,47,86,0.57236,0.52:6.23,5.71,
B4,vibrato,8.500700607,9.8232,47,0,0.0055,0.62:5.55,4.93,
C5,vibrato,8.454425363,9.4869,40,190,1,0.70:5.94,5.24,
C#5,vibrato,7.325530993,11.0119,60,0,0.00595,0.72:5.88,5.16,
D5,vibrato,5.392392874,14.198,93,109,0.99,0.99:4.82,3.83,
D#5,vibrato,4.606365159,17.20183486,65,0,0.00917,1.13:5.8,4.67,
E5,vibrato,3.990024938,21.55789,60,0,0.010526,0.62:6.39,5.77,
